DisGeNET Gene Set,STRING,ConsensusPathDB,HumanNet,Reactome,ReactomeFI,GIANT,InBioMap,GeneMANIA,DIP,MultiNet,HINT,IRefIndex,PathwayCommons,HPRD,BioGRID,Mentha,IntAct,PID,BioPlex,BIND,HumanInteractome
Dermatomyositis,2.620648234,1.179349977,2.013327424,0.948033073,0.843008342,1.147681765,0.77873789,1.353556427,0.885313797,0.604125926,1.461571921,0.694709593,0.772114821,0.919865289,0.622351589,0.473552386,0.331752328,0.378446284,0.467465197,0.197270574,0.441447738
Developmental Disabilities,0.713078386,0.251125823,0.44636932,0.375651932,0.526112237,0.198493579,0.342206509,0.16304044,-0.029820676,0.20839186,0.107212622,0.218110079,0.196722677,0.336602743,0.161391691,0.154697956,0.231773132,0.165695399,0.025685213,-0.080318537,0.408422469
Developmental delay (disorder),0.531816739,0.141458113,0.186498087,0.342848946,0.184489301,0.346262808,0.124633879,0.082736122,0.077373198,0.320770533,0.090823636,0.064305333,0.09843272,0.071374721,0.097313973,0.127802847,0.148597634,0.011044047,0.076675828,-0.020838916,-0.050433902
Diabetic Retinopathy,2.467001211,1.538945666,0.933408478,1.054390388,1.024365656,1.019368829,0.747485537,0.756340283,0.934748342,0.516981,0.79633069,0.879530106,0.946422234,1.030135753,0.822511033,0.93473846,0.440308206,0.347645776,0.505576633,0.346643772,0.012516781
Diarrhea,1.538305804,1.263545821,0.553800497,0.372533098,0.648784443,0.431762185,0.758433933,0.628908281,0.75604734,0.649290156,0.195027989,0.676885671,0.532161791,0.717418066,0.582242392,0.658320072,0.633113757,0.226628252,0.220805326,0.079869982,-0.023508973
Differentiated Thyroid Gland Carcinoma,1.520323043,0.687845966,0.535964561,0.652541824,0.714559409,0.456028381,0.583309701,0.501376007,0.508312811,0.306504401,0.249124479,0.304655326,0.269000532,0.313404733,0.570158779,0.317650826,0.314252538,0.186533164,0.617890441,0.096530554,0.016928528
Dissecting aneurysm of the thoracic aorta,1.792335653,1.977936255,0.786196136,0.799184464,0.879027702,0.982405906,0.88527203,0.72976649,0.250841863,0.569688067,0.427490649,0.618031502,0.677980201,0.344550233,0.557964114,0.68050406,0.50397519,0.179049715,0.172945176,0.199230393,0.020326129
Disseminated Malignant Neoplasm,1.70322175,1.196052108,0.869342227,0.880139305,0.662189802,1.341106372,0.803810442,0.710931218,0.530580186,0.377953514,0.544146284,0.48357896,0.345637996,0.391620778,0.470528758,0.526376091,0.370778684,0.351477761,0.218389422,0.340458105,0.223288847
Drug abuse,2.608325824,1.321414997,1.60599893,0.82305632,1.067712309,0.585928141,1.423525127,0.473866858,0.470052036,0.640054319,0.250107447,0.42188872,1.077296847,0.714532269,0.647355014,0.445954556,0.227701429,0.283386363,0.800258265,0.639174798,0.16491906
Ductal Carcinoma,1.222296299,0.837757934,0.730558213,0.61709484,0.594468192,1.265623144,0.670757789,0.607259979,0.502650122,0.576382486,0.450195949,0.474849416,0.366316878,0.201326414,0.43665761,0.436263765,0.452547446,0.322154877,0.248384675,0.249561623,0.190790124
Dwarfism,1.036255029,0.802335627,0.836630594,1.246490309,0.727002431,0.42778061,0.55645044,0.329323044,1.299275035,0.365164192,0.44088835,0.448659893,0.315752972,0.613727442,0.427038328,0.392568124,0.211423007,0.241815786,0.397130024,0.229629574,0.02833277
Dyslipidemias,5.188357132,1.124273352,1.429599398,1.348069035,2.595961481,0.939861948,1.142066686,1.303453651,1.123696128,0.798008806,0.75110733,0.964190127,1.171950614,1.355933104,0.638150463,0.742418549,0.733212723,0.827206734,0.334782738,0.438958193,0.06155135
Dystonia,1.496098153,0.297921253,0.150455598,0.003773935,0.241197693,0.169023003,0.150802352,0.13763459,1.166501394,0.157073878,0.120418812,0.157298257,0.172951961,0.436975886,0.130318091,0.1019572,0.192340023,0.094612267,0.059556575,0.001255444,-0.014775043
Dystonia Disorders,1.482905471,0.17470437,0.155686416,-0.002663635,0.271971461,0.161136064,0.110566906,0.15308476,1.135353677,0.17763365,0.156240043,0.152699958,0.10614059,0.544851234,0.20348268,0.140892329,0.251085859,0.081098361,0.035006079,-0.066735962,-0.027731298
Eclampsia,2.782196251,2.076511637,1.29683423,1.643382702,1.212775965,1.127630415,1.484342644,1.175434066,1.176533674,0.985821452,1.05894811,1.257524139,1.205710272,1.350530359,1.033611406,1.320981419,0.364353244,0.504472613,0.743368073,0.46879538,0.150891254
Embryonal Carcinoma,1.56239751,1.3128753,0.730266992,1.412714072,0.836607381,1.590811381,0.556582494,0.525804792,0.480189252,0.389955957,0.502657093,0.312947749,0.604757209,0.304097507,0.431255321,0.333897051,0.295516378,0.448332461,0.787182279,0.291286728,0.799090818
Encephalitis,3.103877734,1.664791863,2.396201105,1.232991134,1.328628365,1.524666834,0.7494587,1.359515969,1.140307601,0.839515046,1.33761362,0.842283977,1.059491646,0.691759042,0.457743875,0.566591836,0.197910986,0.918004009,0.50204861,0.184110943,0.034808668
"Encephalitis, St. Louis",2.612015602,1.505554653,1.77917404,1.155506132,0.944029688,1.492492726,0.911540319,1.494772682,0.48418948,0.607995171,0.918313541,0.584492086,0.63061279,0.697275823,0.507978649,0.555379457,0.462932753,0.446035401,0.349647048,0.247777786,-0.008502641
Encephalopathies,1.22225923,0.376190199,0.520591492,0.696867696,0.485453522,0.124556249,0.187478378,0.412867552,0.081851616,0.231316018,0.342387832,0.231470217,0.38516554,0.271620703,0.344494916,0.31842555,0.151929638,0.079626418,0.180831436,0.083395236,0.170951415
Endometrial adenocarcinoma,1.642050479,1.708093595,1.103512153,0.440267284,1.056780591,1.06159269,0.615610047,0.834515632,1.424243015,0.601850195,1.065028493,0.882311576,0.447880568,0.757478111,0.760041942,0.719063886,0.367543977,0.378283436,0.325708055,0.810621596,0.058397726
Endothelial dysfunction,1.860353178,1.168749197,0.729107736,0.728136582,0.76544136,0.850125669,0.630436415,0.849708336,0.304113989,0.355588909,0.520393424,0.491230429,0.853193529,0.433311873,0.456383303,0.529993282,0.401477219,0.256330556,0.245572975,0.283287436,-0.021962213
Enterovirus Infections,1.30784514,0.566589017,0.836602293,0.499907681,0.745667207,0.534555408,0.2866196,0.507890801,0.111106261,0.110900735,0.290668419,0.465685877,0.473691673,0.298807306,0.204735505,0.214495907,0.289275274,0.192535573,0.114450975,0.388892331,0.118862825
Eosinophilia,4.134596046,2.675499383,3.426029952,1.428457823,1.431716311,0.873336462,1.179306411,1.405497034,1.503468754,1.033982049,1.569000514,1.318069408,1.102507671,1.109196502,1.007025718,1.061512009,0.712324676,0.680186895,0.41094184,0.354575979,0.018058032
Eosinophilic disorder,3.994353927,2.764619002,3.471550743,1.425784881,1.460791401,0.934662549,1.211095612,1.296227482,1.565838529,0.882480065,1.73062301,1.338313169,1.118347682,0.948776787,0.852998882,1.1430601,0.633193396,0.775258699,0.387720582,0.377873166,0.017054914
Ependymoma,1.214377024,1.042421297,1.410322083,0.791223866,0.998468582,1.511835762,0.84775905,0.660246997,0.610272496,0.730501086,0.771911341,0.507377243,0.436768308,0.548252706,0.790367842,0.456262141,0.572811747,0.369496318,0.253045861,0.855046272,0.812938503
Epithelioma,1.6354814,1.017978915,0.930527676,1.07342443,0.813678918,1.401182207,0.794592747,0.840495306,0.673674702,0.677096974,0.647438356,0.580894021,0.465590716,0.400615418,0.433143501,0.569858827,0.592203537,0.260784519,0.282951008,0.352293703,0.083552679
Epstein-Barr Virus Infections,2.848510975,1.535510862,1.741496111,0.862082239,0.812466711,1.585837311,0.954770465,1.527223747,0.328358738,0.596998768,0.787390351,0.615842373,0.5074967,0.388012898,0.561448213,0.643741583,0.587842008,0.161728623,0.231343281,0.406364409,0.013253562
Essential Hypertension,2.330422964,1.356667078,1.067636758,0.925211382,1.484512071,0.632185122,1.134007871,0.569160564,0.504206978,0.675233419,0.630423105,1.018782674,0.907053363,1.164193805,0.802599572,0.757071972,0.257459608,0.221286031,0.574418511,0.197483715,0.096954934
Experimental Organism Basal Cell Carcinoma,1.525972163,0.985771168,1.006116646,0.780737491,0.874742419,0.948670241,0.819178056,0.652286725,0.47236051,0.593162278,0.625228696,0.551300157,0.581823916,0.434749248,0.637274001,0.521472555,0.429122645,0.266828206,0.380601139,0.165945254,0.008879542
Extrahepatic Cholangiocarcinoma,0.932320495,0.189645044,0.324773264,0.260000513,0.50538754,0.193779354,0.558005722,0.467164018,0.290132488,0.48977039,0.394517105,0.222472985,0.200434288,0.214415032,0.756153419,0.137865479,0.142928579,-0.025712895,0.213704582,0.494156872,-0.007705273
"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",2.15702003,1.274135837,1.321395431,3.278431133,2.111077134,1.390391888,1.723933402,1.257760445,1.243626987,0.840285116,1.119572799,1.162057895,1.268628924,0.815047458,0.989594862,1.02481558,0.748350194,1.175174191,0.496354011,0.299935222,0.565491472
Familial Alzheimer Disease (FAD),1.382607939,1.157649129,1.064313843,0.802216765,0.684694865,0.460966714,0.635713355,0.541374782,0.476182941,0.56899138,0.488524161,0.508094185,0.512237424,0.779257018,0.457407934,0.481424094,0.48019244,0.620743657,1.229532624,0.315354234,0.076997602
Familial lichen amyloidosis,2.007639596,0.609413098,0.946866522,0.837028056,0.97174178,1.093412934,0.623404622,0.516869254,0.681577245,0.56407903,0.67381825,0.444585694,0.75313126,0.335442477,0.368172222,0.450060514,0.703516047,0.12638949,0.176627472,0.324834299,0.014351933
Familial multiple trichoepitheliomata,1.246728355,1.060421369,0.581079474,1.189825345,0.550691544,0.874798133,0.913806197,0.585526041,0.706731327,0.355346968,0.879418833,0.516791029,0.428653479,0.394609884,0.761778997,0.625307468,0.3898776,0.198636183,0.509293714,0.283658766,0.093997979
Fanconi Anemia,1.995983447,1.287675342,1.104732713,2.93044986,1.882476641,1.175226113,1.584669484,1.19355254,1.081382117,0.731242107,0.996690288,0.931942544,1.082360483,0.778029609,0.889017163,0.95117508,0.748562062,1.097371829,0.445130011,0.302858668,0.664135006
Fatigue,1.269985291,0.301239264,0.319492494,0.470503503,0.514853213,0.160344964,0.154290051,0.458544471,0.286442327,0.131958528,0.101861876,0.14834377,1.050572446,0.308739471,0.105121301,0.098475295,0.36125393,0.37146129,0.077356952,0.011115061,0.010607751
Fibroid Tumor,1.50842484,1.734105256,1.229408693,1.053559992,1.053462044,1.468344852,0.955007516,1.011431071,0.576058785,0.624484494,0.818295043,0.703187689,0.70781981,0.532482601,0.671232542,0.706547757,0.693553371,0.328639642,0.473824074,0.290554798,0.207716505
Fibrosarcoma,1.015896148,1.276792838,0.884750734,1.201598481,0.984421279,1.288438756,0.892409949,1.127139661,0.432566549,0.60354677,0.580046027,0.552851536,0.486838119,0.446100953,0.577339152,0.594440019,0.531030337,0.182892262,0.289241221,0.615792822,0.205633694
Focal glomerulosclerosis,1.941218662,0.965010795,1.285516648,0.694707115,0.620599113,0.888210738,0.520365079,0.4260617,0.62977234,0.748456745,0.67028303,0.806376022,0.599416641,1.010955165,0.566889735,0.653369204,0.42565978,0.063091193,0.294503013,0.093526494,0.032229363
Follicular adenoma,0.945386812,0.394006671,0.473291914,1.059224289,0.837104596,1.050153716,0.429701435,0.516325172,0.408443246,0.306909374,0.249142855,0.315676486,0.361168307,0.384993348,0.264778322,0.364590665,0.15984758,0.530082771,0.17397642,0.072152134,0.32043279
Follicular thyroid carcinoma,1.360088924,0.709439493,0.538084598,0.894394428,0.83383546,1.079233162,0.564529649,0.715861116,0.559723556,0.430751549,0.515491834,0.466133133,0.378161422,0.342277715,0.391937755,0.483386546,0.306260682,0.196013801,0.193710747,0.168660792,0.000612284
Fragile X Syndrome,1.232537233,0.214381224,0.272325982,0.481139184,1.04272785,0.147205702,0.364681473,0.133732238,0.637633677,0.503370451,0.235282162,0.192977797,0.159048675,0.292677427,0.225985233,0.201638464,0.11030016,0.239696566,0.10655583,-0.029760561,0.222639218
Frontotemporal Lobar Degeneration,1.530768701,0.444427061,0.193525865,0.372008636,0.496492727,0.255212652,0.280216848,0.38417255,0.250831332,0.334344197,0.325432715,0.109600811,0.233856685,0.049947362,0.300601483,0.294319879,0.14139631,0.027045541,0.033797035,-0.002188315,0.076691406
Frontotemporal dementia,1.422058009,0.299280599,0.138254968,0.208093259,0.241368688,0.189692428,0.323209703,0.47764734,0.403366453,0.292222189,0.357234858,0.139948982,0.266376803,0.162865554,0.370331208,0.205910123,0.199233659,0.306781072,0.164580227,0.138580205,0.009274772
Gallbladder Carcinoma,0.997896306,0.85686264,0.566251501,0.746614182,0.70788155,0.745908315,0.657827314,0.505197228,0.383894448,0.408473808,0.467584976,0.424973594,0.480975091,0.271782624,0.493339004,0.46740847,0.53799376,0.122376018,0.197946021,0.252584413,0.084785726
Gastritis,3.095560244,2.456761884,1.949312468,1.339847367,1.343864159,1.404630907,1.02634121,1.747147731,0.943479201,0.550243658,0.598420907,1.030296446,1.321018828,0.845941979,0.537727824,0.635179417,0.449480711,0.574670513,0.295464857,0.195006351,0.077542667
Gastrointestinal Carcinoid Tumor,1.394562068,1.757840204,1.214756473,1.754665113,1.295814021,0.869793361,1.148701083,1.0321026,0.718233106,0.669923854,0.829390842,0.693678308,0.591125385,0.487665689,0.751732816,0.663189633,0.616475932,0.307341391,0.785501591,0.497792272,0.194363603
Gastrointestinal Stromal Tumors,0.767495857,0.829671048,0.65385313,1.010659244,0.765586188,0.787780962,0.836113751,0.613899145,0.928409902,0.547364384,0.602808774,0.550549137,0.29415638,0.369811874,0.544940094,0.410652921,0.466761082,0.204237577,0.727259813,0.445067022,0.292334359
Germ cell tumor,0.962181132,0.805377878,0.611501132,1.198031645,0.678355798,0.520605216,0.494535793,0.503669163,0.824395968,0.380283843,0.777006822,0.245767858,0.222909136,0.319975305,0.291296289,0.270374673,0.40942737,0.242635384,1.131795637,0.490297396,0.156914717
Giant Cell Arteritis,3.931312924,1.437435667,1.794975936,1.272717728,1.268178942,1.516875474,0.879285358,1.353181047,0.913624699,0.768037559,0.791982446,0.814935817,1.030778778,0.822765492,0.932581798,0.699326273,0.687972081,0.773197625,0.158791672,0.329828074,0.052267251
Glaucoma,1.802054984,0.967464757,0.834893356,0.552208687,0.807038411,0.593933671,0.653331246,0.407833288,0.770588281,0.637076977,0.248696339,0.540613385,0.463879605,0.91185791,0.431028523,0.538023264,0.380621449,0.251473216,0.172377247,0.341727998,-0.001818766
"Glaucoma, Primary Open Angle",1.488933158,0.741121245,0.550372565,1.060772277,0.82488216,0.882854142,0.620141296,0.429543292,1.25618534,0.659975215,0.572601542,0.586337821,0.504018139,0.737551659,0.517057506,0.580318412,0.527459838,0.188918261,0.105226257,0.0548588,0.021240636
Global developmental delay,0.433441389,0.128350966,0.23684029,0.452209387,0.248588824,0.32615222,0.158287998,0.105390869,0.204123905,0.208597849,0.093788982,0.074607754,0.094261953,0.11703366,0.065077796,0.090173925,0.090346203,0.200154664,0.05808069,-0.096402729,-0.022453247
Glomerulonephritis,3.39529348,2.589454492,2.176062953,1.627614682,1.736075209,2.509606888,1.61466497,1.934267615,0.957145181,1.313220978,1.232020223,1.384230793,1.169106902,1.440876632,1.158546259,0.900812229,0.543329942,0.54468993,0.684420402,0.298677277,0.063604854
Graft-vs-Host Disease,4.234472578,1.506583974,2.524559819,1.660379122,1.246483673,2.006238406,0.815768143,2.240963265,1.078334147,0.878327792,0.810764956,0.755677832,0.838260266,0.823344796,0.488705579,0.618621172,0.61844095,0.41689583,0.28757945,0.413212369,0.018142694
Hairy Cell Leukemia,2.179691192,0.749965695,1.231955963,0.735414297,0.53675326,1.101569986,0.596914753,1.24142603,0.962358532,0.345291781,0.483582465,0.510111405,0.57068524,0.340376179,0.261777077,0.253033209,0.428787451,0.145004644,0.292478761,0.390703172,0.289994056
"Hamartoma Syndrome, Multiple",1.392366307,1.814948974,1.12440576,0.94503359,0.656874662,0.747471394,0.729780064,0.49064556,0.723724526,0.975730841,1.285614755,1.197931949,0.631336613,0.739804653,0.838582568,1.321014437,1.289344656,0.283336426,1.56193415,0.25064225,0.067263774
Hamman-Rich syndrome,3.007213815,2.25470552,1.797477161,0.730180627,1.116970269,1.945438312,1.053699248,1.490615987,0.678562371,0.686291721,0.980440336,1.070056161,0.945883953,0.862925401,0.568141908,0.823620543,0.592238014,0.122206972,0.192592297,0.329312082,0.074517639
Hashimoto Disease,2.464883357,1.374987197,1.40908506,1.055399838,1.177290407,1.064498301,0.950756419,1.122018836,0.189026653,0.656904655,0.486219029,0.448487332,0.909791581,0.57364211,0.482389235,0.535550494,0.453476573,0.272410052,0.212412382,0.182909891,0.105677519
Heart Diseases,1.406937951,0.732036532,0.819753732,0.76955645,1.005056124,0.586254609,0.649494447,0.608305079,0.300130743,0.278827133,0.391487784,0.464431239,0.424315726,0.424340995,0.403396632,0.456047308,0.395782811,0.116287225,0.099759012,0.392623433,0.035796464
Hematological Disease,0.79296628,0.641584432,0.659397053,0.265628876,0.395934565,0.491663806,0.448864158,0.504061134,0.457528249,0.312997176,0.371074108,0.32115422,0.217693092,0.272086718,0.327335842,0.374003203,0.389310544,0.141744324,0.613976203,0.442474783,0.010904845
Hematopoietic Neoplasms,1.131092162,1.151670346,1.078300036,1.549345127,0.803712288,0.94460608,1.296762744,1.137957299,0.403178161,0.279978613,0.812747648,0.558569372,0.346703351,0.294383176,0.62737583,0.589393129,0.52055566,0.437278688,0.662725052,0.322145208,0.405201238
Henoch-Schoenlein Purpura,2.272355302,0.591418638,0.562017033,0.79631692,0.550366568,0.149682384,0.467492126,0.134943956,0.629588593,0.259452244,0.142529357,0.235569937,0.265025629,0.145310267,0.375500414,0.187105063,0.225181933,-0.044780464,0.089379533,0.06225802,-0.011176591
Hepatic methionine adenosyltransferase deficiency,1.06417118,1.227070651,0.938974287,0.941527308,1.336649585,1.372450673,0.612360953,0.789007089,0.710830198,0.859521558,0.449854106,0.771336273,0.62973166,0.858967229,0.729457686,0.658690477,0.922704656,0.323137985,0.330049668,0.281886805,0.039713386
Hepatitis,2.227684673,0.869115908,0.978607222,0.819799925,1.06144588,0.889118717,0.817022563,0.857441595,0.407144312,0.593651513,0.54151666,0.456162548,0.725369727,0.348226038,0.617932636,0.381587558,0.271795232,0.63311254,0.326144198,0.228457263,0.022501535
Hepatitis A,1.920698945,0.692774221,0.786042596,0.783049709,0.888113343,0.692533725,0.632889546,0.711024458,0.324065748,0.445388657,0.283397364,0.389989263,0.647235534,0.203241491,0.39067057,0.303547145,0.241620399,0.48450785,0.131652096,0.040136474,0.078511016
"Hepatitis B, Chronic",3.232094081,1.302103469,1.955729449,1.458268358,1.365042162,1.326053436,1.022752886,1.327438901,0.541553992,0.666740176,0.648547369,0.896698398,1.001830853,1.00019105,0.701192683,0.613963407,0.561779462,0.923658265,0.44360494,0.624332868,0.014530791
"Hepatitis, Chronic",2.191143399,1.8535803,1.118670738,1.141606851,0.88593058,0.833237123,1.035742303,1.045910971,0.432492815,0.712190757,0.535179916,0.60332905,0.836795687,0.521443294,0.703195141,0.61892287,0.326409839,0.449497432,0.945249878,0.114852469,0.008185707
Hepatoblastoma,1.481184217,1.289543176,0.974029319,0.889617047,0.788591642,0.823800709,0.880978239,0.699576224,0.764822403,0.505428647,0.638179509,0.653169742,0.511735683,0.612618799,0.629139999,0.62866955,0.531582082,0.415750615,0.496973766,0.647762097,0.33341723
Hereditary Nonpolyposis Colorectal Cancer,2.012908096,1.795027269,1.227400523,2.489973543,2.060488602,1.187370811,1.47882513,0.740874402,1.255199104,0.961966732,1.325199397,1.304118878,0.70173129,1.256005863,0.912711513,1.040445146,1.318904858,0.727165393,0.324011565,0.627565103,0.094387268
Hereditary hemochromatosis,1.510056533,1.452688851,0.726175091,1.704269336,1.13105439,0.765960042,1.050339966,0.566275814,0.203288928,0.709568258,0.511761646,0.705070011,0.784781902,0.802943791,0.451256329,0.658315879,0.728623147,0.572195234,0.228599655,0.300945818,0.097382874
Hypercholesterolemia,3.564821359,1.771085045,1.366669447,1.59948027,1.737335918,1.054054431,1.070249432,1.190435796,1.003092208,1.009610902,0.655978404,0.972092368,1.270501592,1.01464746,0.664545767,0.943490265,0.517507529,0.786092748,0.238824544,0.234967746,-0.023080671
"Hypercholesterolemia, Familial",3.442829404,2.209035743,2.187330191,1.893328125,2.040147839,1.251430316,1.708836506,1.113330096,1.389569499,1.223268767,1.105697639,1.146079148,1.451102461,1.777771591,0.922138863,0.929738795,0.684108527,0.360869365,0.181121042,0.020997642,-0.010866521
Hyperinsulinism,2.396963236,1.564968729,1.040339504,0.811020595,1.176642995,0.625993054,1.198813832,0.762089677,1.020643318,0.808216397,0.953645607,0.997611143,0.761478218,0.756271843,0.635104412,0.730755708,0.71358706,0.684601619,0.229822602,0.765137362,0.071848702
Hyperlipidemia,3.457308032,1.230363179,1.395154903,1.360115085,2.043318067,0.716863524,0.995338568,1.170465506,0.351831616,0.6281912,0.414694478,1.037710343,1.205758545,1.209570164,0.665990702,0.630088988,0.657437589,0.517810743,0.672147808,0.05043755,0.020476072
Hyperlipoproteinemia Type IIa,2.719146854,2.215074753,1.820168845,1.960575725,2.283447485,1.013781086,1.596518899,1.096311025,1.580652362,1.042163706,1.060606257,1.462823679,0.953590703,1.59623222,0.92141197,0.898872171,0.706379549,0.199988739,0.191396838,0.140253479,0.173298379
Hyperplastic Polyp,1.453688599,0.957875605,0.692558881,0.242649262,0.352758584,0.510809332,0.428694763,0.382405829,0.795917446,0.454526757,0.358264336,0.649644247,0.256327718,0.61316511,0.45094407,0.367081419,0.400292613,0.267769246,0.190186547,0.287496106,-0.011209096
Hypertriglyceridemia,4.447327628,1.468543189,1.957284277,2.316627345,2.738638206,0.619303908,2.15775793,1.262034853,0.387502381,0.595513205,0.444571405,1.436241821,1.36411343,1.411543422,0.780814165,0.92255496,1.269540068,0.48970072,0.088602277,0.480493161,0.006081567
Hypertrophic Cardiomyopathy,1.969003598,1.012719909,1.3979877,3.383311149,2.482752764,0.794162185,1.494414928,1.324408023,0.833580103,0.542756339,0.726508945,0.821257348,0.689609976,0.923859507,0.83329941,0.730393643,0.393838282,0.151834088,0.356571313,1.346603996,0.056071764
Hypoglycemia,2.074975522,0.900900351,0.615930878,0.95518172,0.933275243,0.339524327,0.712757141,0.383608536,1.057616827,0.577567149,0.465812045,0.478942529,0.519216584,0.484067351,0.832608021,0.754545297,0.349378572,0.741935807,0.121554938,0.517443192,-0.003799885
Hypothyroidism,1.979645209,0.764914622,0.989063497,1.494414427,1.641676677,0.499197709,0.741141445,0.451836046,0.450974529,0.71454651,0.455287572,0.401762439,0.879080667,0.650770469,0.578834885,0.493483164,0.18067877,0.330438187,0.09320185,0.26031845,0.13928532
IGA Glomerulonephritis,2.686357341,1.96883592,1.610078067,0.909347996,0.999605963,1.933472652,1.110485152,1.481539884,0.944227706,0.94090443,0.684900958,0.986200875,0.817185307,0.79088374,0.713636691,0.84403459,0.757810597,0.188109546,0.23113615,0.234110729,-8.59E-05
"Ichthyosis, X-Linked",1.329411209,0.485251878,0.668524772,0.661533087,0.49029863,0.815530715,0.521658175,0.741587879,0.473257918,0.259497832,0.47872924,0.185385531,0.410737761,0.25154714,0.312770209,0.372573852,0.257420702,0.540171711,0.10375735,0.323547742,0.0189126
Idiopathic pulmonary arterial hypertension,1.440960108,1.49894119,0.935885964,0.743632397,0.967682942,0.901542253,0.719551578,0.86311869,0.777979366,0.495386961,0.828370404,0.753986623,0.760922456,0.529767376,0.653767792,0.767505015,0.756119448,0.422918906,0.160307951,0.328452174,0.022508268
Immune System Diseases,2.161390491,1.128796707,1.322740338,0.840228836,0.786265052,1.154597819,0.990759741,1.14704101,0.386919141,0.415982456,0.658775157,0.498028925,0.717026118,0.358657055,0.355770283,0.384000052,0.363664866,0.485469944,0.212132942,0.483637627,0.087796705
Immune thrombocytopenic purpura,5.804588809,2.671250972,3.55501702,2.068096316,1.256253009,2.133705951,1.676532715,2.500703739,1.029062254,1.211004905,1.217098113,1.389905811,0.956282331,1.521611173,0.986351631,1.380876666,0.795874757,0.527237834,0.729506985,0.929121871,-0.004476635
Impaired glucose tolerance,2.035175791,1.145862514,1.015465523,1.008803827,1.052907039,0.565320314,0.847551489,0.638933574,0.852310139,0.409594393,0.732361111,0.706646442,0.58368934,0.707329216,0.443578358,0.417613526,0.472149363,0.532029228,0.417948487,0.505899589,0.087795515
"Inclusion Body Myopathy, Sporadic",0.700252923,0.893736338,0.534961173,0.167589139,0.830309047,0.392572256,0.290144564,0.272996181,0.948424602,0.912369,0.975563603,0.45733107,0.281019692,0.766655789,1.158820649,0.502348348,0.384275373,0.080460212,0.139889797,0.170938655,0.022674293
Inclusion Body Myositis (disorder),0.609899559,0.314592454,0.205796727,0.327662331,0.243432325,0.196285853,0.339666416,0.380348864,0.998253023,0.172082182,0.285849595,0.21551984,0.137433214,0.164194179,0.260772061,0.453610301,0.132664043,0.149905483,0.079241537,-0.002947501,-0.008005348
Inflammatory dermatosis,5.41831432,3.384770507,3.275235364,1.649317831,1.95140477,1.902510191,1.458098261,2.247978962,1.679959203,1.925285532,1.680572542,1.670462891,1.54529774,1.34751175,1.114344258,1.191073222,1.046524009,1.065541523,0.552398501,0.51419801,0.027247657
Inflammatory disorder,3.377501033,1.409982633,2.036122494,0.851937295,0.830317891,1.277921514,0.984925225,1.266493376,0.414948851,0.421248284,0.713833725,0.698297298,0.901527736,0.410609535,0.613407829,0.667662889,0.496373034,0.495824169,0.39562328,0.352762881,0.02807747
Interstitial lung fibrosis,2.72444003,1.642386929,1.782521837,0.752697636,0.882156571,1.771839562,0.869202795,1.154946671,0.366258927,0.951861664,0.626391387,1.208444652,1.091917697,0.873181129,1.135216332,1.037398612,0.532265922,0.298119552,0.653017144,0.068766183,0.075665865
Intervertebral Disc Degeneration,2.6704516,3.152991241,1.638026156,1.120161938,0.873797557,0.875632376,1.186919183,0.600440644,0.637680472,0.818928243,0.340961483,1.129284125,0.844727029,1.267979462,0.315069414,0.580740176,0.307918971,0.16671576,0.28144259,0.110356102,0.018999071
Intestinal Neoplasms,1.163200527,1.267114182,0.89190761,1.415938999,0.73901644,0.787261152,0.7669108,0.898912143,0.837795152,0.491563296,0.59272014,0.693983086,0.38162388,0.48611755,0.776093064,0.504402565,0.530113631,0.312278867,0.225931125,0.412000603,0.930692007
Intracranial Aneurysm,3.199767325,1.999302674,1.186655861,1.41539509,1.261919353,1.131935844,0.944604258,0.825765384,1.213928405,1.031552121,0.876968898,1.542200236,1.255748882,1.42896454,1.074519798,1.282501473,1.10147202,0.357161127,0.269575129,0.069809032,0.023250157
Intraepithelial Neoplasia,1.382370739,0.773370561,0.922829597,0.783141412,0.679921913,0.688034407,0.785489734,0.514313088,0.255675876,0.685493722,0.696239561,0.405923372,0.439612643,0.415885598,0.555030893,0.410962361,0.336874487,0.156139406,0.239922156,0.270932685,0.111779469
Intrahepatic Cholangiocarcinoma,1.19180915,1.179148368,0.87182007,0.774632351,0.655048534,0.646597413,0.748439738,0.806204105,0.553524852,0.655616486,0.692467764,0.512975162,0.476201202,0.391151064,0.641365588,0.568464901,0.517866765,0.27253682,0.266302961,0.70444591,0.186005525
Intraocular pressure disorder,1.202308278,0.462140586,0.325695906,0.208647956,0.343021323,0.734174359,0.338248523,0.39072558,1.104785559,0.214122514,0.329606255,0.296453559,0.226428675,0.448324027,0.418716188,0.468093022,0.199119751,0.286832507,0.368664427,0.269576735,-0.012362851
Invasive Carcinoma,1.592222016,1.202452961,1.278656739,1.510363422,0.890740262,1.244544595,0.980896954,1.080473743,0.440218336,0.630169563,0.576686054,0.472270888,0.543922239,0.375494192,0.496479338,0.573756382,0.571627458,0.172651216,0.318226475,0.310983337,0.228941517
